Machine_ID,Description,Total_Diesel_Liters,Total_Oil_Liters,"GAZPROMNEFT DIESEL
 PREMIUM 15W-40 205L","GAZPROMNEFT DIESEL
 ULTRA 10W-40 205L",HIDRAULICNO ULJE H 46 NIS,ANTIFREEZE SF12+40 220KG,Reducer Oil 75W90,Transmission oil SAE 10,Engine Oil Kom 15W40,Engine Oil AD 15W40,Oil_to_Fuel_Ratio_%,Anomalies
2025,Unknown Mach.,0.0,262.0,0.0,0.0,212.0,50.0,0.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
57101,Unknown Mach.,0.0,202.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
56431,Unknown Mach.,0.0,110.0,0.0,37.0,0.0,9.0,64.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
56251,Unknown Mach.,0.0,110.0,0.0,37.0,0.0,6.0,67.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
56351,Unknown Mach.,0.0,105.0,0.0,37.0,0.0,4.0,64.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
56441,Unknown Mach.,0.0,105.0,0.0,36.0,0.0,5.0,64.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
2104,Unknown Mach.,0.0,80.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
2114,Unknown Mach.,0.0,65.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
3104,Unknown Mach.,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
2125,Unknown Mach.,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,OIL ADDED NO FUEL RECORDED
2014,Unknown Mach.,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
2054,Unknown Mach.,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
57061,Unknown Mach.,0.0,34.0,0.0,30.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
31033,Unknown Mach.,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
56371,Unknown Mach.,0.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
57011,Unknown Mach.,0.0,21.0,9.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
80025,Unknown Mach.,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
31013,Unknown Mach.,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
8213,Unknown Mach.,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
80143,Unknown Mach.,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
3143,Unknown Mach.,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
80023,Unknown Mach.,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
22070,Unknown Mach.,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
45021,Unknown Mach.,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OIL ADDED NO FUEL RECORDED
1045,Unknown Mach.,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,
56301,Unknown Mach.,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,
4032,Unknown Mach.,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,
